wind,solar,electric,cooling,heating,temperature,day_cos,day_sin,hour_cos,hour_sin,mean,std
8.65,0.0,198128.9494,75474.67757,87027.31645,27.0,-0.4900286664290594,-0.8717063187093217,1.0,0.0,60111.09890333333,78543.23253948265
8.58,0.0,198344.0183,70626.28495,94246.4164,28.0,-0.4900286664290594,-0.8717063187093217,0.9659258262890683,0.25881904510252074,60542.21660833332,79017.27612615586
8.6,0.0,194719.0959,74530.09967,86661.05806,29.0,-0.4900286664290594,-0.8717063187093217,0.8660254037844387,0.49999999999999994,59324.642271666664,77283.79245353439
8.8,0.0,195124.3205,67566.91399,79287.49441,31.0,-0.4900286664290594,-0.8717063187093217,0.7071067811865476,0.7071067811865476,57003.088149999996,76719.20720804477
8.98,0.0,184516.9349,57423.04782,79900.15418,32.0,-0.4900286664290594,-0.8717063187093217,0.5000000000000001,0.8660254037844386,53646.85281666667,72746.178629064
9.15,8.9,197044.5617,68591.8186,84026.30284,31.0,-0.4900286664290594,-0.8717063187093217,0.25881904510252074,0.9659258262890683,58285.28885666667,77728.71822519894
9.33,134.12,205655.1685,67296.38356,94706.93607,32.0,-0.4900286664290594,-0.8717063187093217,6.123233995736766e-17,1.0,61305.65635500001,81537.68871301698
9.48,338.85,221188.9174,82196.97093,91800.26201,32.0,-0.4900286664290594,-0.8717063187093217,-0.25881904510252063,0.9659258262890683,65927.74672333333,87211.7842047196
9.57,540.2,232709.8024,90923.26316,108358.7485,32.0,-0.4900286664290594,-0.8717063187093217,-0.4999999999999998,0.8660254037844387,72095.59734333333,92710.46573830648
9.61,707.15,236287.0174,77313.07548,99655.57006,31.0,-0.4900286664290594,-0.8717063187093217,-0.7071067811865475,0.7071067811865476,69000.57049,92923.76189409198
9.49,827.92,231413.1956,74268.59028,105895.0196,31.0,-0.4900286664290594,-0.8717063187093217,-0.8660254037844387,0.49999999999999994,68740.86924666667,91575.6404836235
9.38,900.1,231028.8119,88146.0452,110787.7519,30.0,-0.4900286664290594,-0.8717063187093217,-0.9659258262890682,0.258819045102521,71817.01483333333,92165.79911653677
9.31,888.3,236144.5885,73741.24834,115891.3185,29.0,-0.4900286664290594,-0.8717063187093217,-1.0,1.2246467991473532e-16,71117.29422333333,94114.40789477609
9.28,812.35,236036.8081,72610.11522,109562.0141,29.0,-0.4900286664290594,-0.8717063187093217,-0.9659258262890683,-0.2588190451025208,69843.26123666666,93511.08227643161
9.29,678.03,236155.674,70997.36945,106056.7604,28.0,-0.4900286664290594,-0.8717063187093217,-0.8660254037844388,-0.4999999999999997,68987.52064166666,93276.96160042497
9.37,497.85,237811.1855,75419.63855,102939.2599,28.0,-0.4900286664290594,-0.8717063187093217,-0.7071067811865479,-0.7071067811865471,69450.88399166668,93700.02140849654
9.44,289.1,227288.8485,77384.21908,91834.09156,28.0,-0.4900286664290594,-0.8717063187093217,-0.5000000000000004,-0.8660254037844385,66138.94985666667,89259.12694038123
9.3,87.88,220415.6613,82313.24451,91753.31557,28.0,-0.4900286664290594,-0.8717063187093217,-0.25881904510252063,-0.9659258262890683,65767.90023000001,86976.67880020755
9.09,0.0,217556.7498,73644.47094,87777.20264,27.0,-0.4900286664290594,-0.8717063187093217,-1.8369701987210297e-16,-1.0,63169.085563333334,85460.26605745814
8.92,0.0,210056.761,69465.24567,85248.87838,27.0,-0.4900286664290594,-0.8717063187093217,0.2588190451025203,-0.9659258262890684,60801.13417500001,82505.71831045518
8.77,0.0,206340.9122,70825.55044,90064.02163,27.0,-0.4900286664290594,-0.8717063187093217,0.5000000000000001,-0.8660254037844386,61211.04237833334,81515.16323542067
8.39,0.0,202377.9092,68558.36292,97034.3148,27.0,-0.4900286664290594,-0.8717063187093217,0.7071067811865474,-0.7071067811865477,61334.32948666666,80624.22274361168
8.01,0.0,204048.7708,68526.68086,92155.13253,27.0,-0.4900286664290594,-0.8717063187093217,0.8660254037844384,-0.5000000000000004,60794.265698333336,80806.83095959635
8.38,0.0,202197.4899,67198.24718,83256.89939,27.0,-0.4900286664290594,-0.8717063187093217,0.9659258262890681,-0.25881904510252157,58781.33607833334,79498.01081066385
9.64,0.0,201938.301,72859.8526,91975.80234,28.0,-0.4749510720670502,-0.8800122039735356,1.0,0.0,61135.26599000001,80152.42995526508
10.62,0.0,202098.4504,68628.78484,85549.298,29.0,-0.4749510720670502,-0.8800122039735356,0.9659258262890683,0.25881904510252074,59386.02554,79639.40849623166
10.7,0.0,195540.1562,60075.13188,95200.05752,29.0,-0.4749510720670502,-0.8800122039735356,0.8660254037844387,0.49999999999999994,58475.84093333333,77963.43018012751
10.58,0.0,195379.9298,72850.09211,81780.77007,30.0,-0.4749510720670502,-0.8800122039735356,0.7071067811865476,0.7071067811865476,58341.89532999999,77130.9117670561
10.6,0.0,197726.2414,68429.56677,97702.34951,31.0,-0.4749510720670502,-0.8800122039735356,0.5000000000000001,0.8660254037844386,60649.95961333334,79061.38970830373
10.39,8.35,198695.4392,62685.68948,89763.96121,32.0,-0.4749510720670502,-0.8800122039735356,0.25881904510252074,0.9659258262890683,58532.638315,78626.36284295647
10.02,125.0,197835.049,71568.89642,92576.03598,32.0,-0.4749510720670502,-0.8800122039735356,6.123233995736766e-17,1.0,60357.83356666667,78705.45635165474
9.76,311.38,214959.3652,65689.93142,91787.78863,31.0,-0.4749510720670502,-0.8800122039735356,-0.25881904510252063,0.9659258262890683,62131.53754166667,84600.0285918978
9.64,494.38,229106.0252,86844.72248,100116.8252,29.0,-0.4749510720670502,-0.8800122039735356,-0.4999999999999998,0.8660254037844387,69433.43214666667,90696.40747153993
9.5,668.83,228171.1025,75568.8232,92465.91357,29.0,-0.4749510720670502,-0.8800122039735356,-0.7071067811865475,0.7071067811865476,66152.19487833332,89516.94272005276
9.25,784.85,229278.2958,71295.95096,102217.365,28.0,-0.4749510720670502,-0.8800122039735356,-0.8660254037844387,0.49999999999999994,67268.95195999999,90498.6018986929
9.0,881.88,226543.1252,83025.7801,105367.9032,29.0,-0.4749510720670502,-0.8800122039735356,-0.9659258262890682,0.258819045102521,69309.44808333334,89994.93745094525
8.77,857.42,229852.6099,77242.01782,98013.23146,28.0,-0.4749510720670502,-0.8800122039735356,-1.0,1.2246467991473532e-16,67667.00819666666,90479.76257287714
8.53,778.25,229434.2835,77302.99367,96575.92548,28.0,-0.4749510720670502,-0.8800122039735356,-0.9659258262890683,-0.2588190451025208,67354.66377500001,90247.94157673024
8.32,645.83,230334.4214,74679.19605,101004.6417,28.0,-0.4749510720670502,-0.8800122039735356,-0.8660254037844388,-0.4999999999999997,67783.401525,90846.84525629667
8.17,463.55,230829.129,69314.07725,110925.5477,27.0,-0.4749510720670502,-0.8800122039735356,-0.7071067811865479,-0.7071067811865471,68594.57899166667,91825.83874329708
8.16,262.15,225328.6489,69251.47995,109502.9176,27.0,-0.4749510720670502,-0.8800122039735356,-0.5000000000000004,-0.8660254037844385,67396.726075,89783.97836776193
8.24,74.15,221061.4318,77051.75268,89467.27793,26.0,-0.4749510720670502,-0.8800122039735356,-0.25881904510252063,-0.9659258262890683,64614.808735,86901.19473941207
8.25,0.0,216375.0747,71513.10575,93216.21392,26.0,-0.4749510720670502,-0.8800122039735356,-1.8369701987210297e-16,-1.0,63523.107395,85335.16214126827
8.41,0.0,209791.9996,81539.77996,99852.20684,25.0,-0.4749510720670502,-0.8800122039735356,0.2588190451025203,-0.9659258262890684,65202.8994,83813.33328013954
8.28,0.0,206523.9009,76734.43894,93174.17882,25.0,-0.4749510720670502,-0.8800122039735356,0.5000000000000001,-0.8660254037844386,62744.29977666666,81976.38821995523
7.13,0.0,201113.752,74717.75614,89898.50866,25.0,-0.4749510720670502,-0.8800122039735356,0.7071067811865474,-0.7071067811865477,60960.3578,79767.45642505956
6.04,0.0,201115.8797,80164.93917,96979.5008,26.0,-0.4749510720670502,-0.8800122039735356,0.8660254037844384,-0.5000000000000004,63048.726611666665,80533.4554870426
4.75,0.0,204241.5818,63379.32257,82529.41562,27.0,-0.4749510720670502,-0.8800122039735356,0.9659258262890681,-0.25881904510252157,58363.67833166666,80130.83522505661
3.81,0.0,198973.9023,68544.38208,95983.17198,28.0,-0.4597327394521046,-0.888057322629493,1.0,0.0,60588.87772666666,79341.84720311916
