wind,solar,electric,cooling,heating,temperature,day_cos,day_sin,hour_cos,hour_sin,mean,std
3.6,0.0,228138.5805,78344.43437,122559.2541,6.0,0.9998518392091162,0.017213356155834685,1.0,0.0,71508.64482833334,92222.46517276605
3.51,0.0,224121.3949,64732.37361,105254.4375,7.0,0.9998518392091162,0.017213356155834685,0.9659258262890683,0.25881904510252074,65686.45266833334,89006.647094442
3.47,0.0,216487.5923,69759.2054,112596.3855,7.0,0.9998518392091162,0.017213356155834685,0.8660254037844387,0.49999999999999994,66475.60886666666,87059.90007050503
3.47,0.0,218271.4217,55299.3677,103268.609,8.0,0.9998518392091162,0.017213356155834685,0.7071067811865476,0.7071067811865476,62808.47806666666,86827.88696897919
3.42,0.0,220152.7494,74649.46769,106683.6344,9.0,0.9998518392091162,0.017213356155834685,0.5000000000000001,0.8660254037844386,66916.37858166666,87811.57520664255
3.51,0.0,213808.6241,67817.4162,105928.8387,9.0,0.9998518392091162,0.017213356155834685,0.25881904510252074,0.9659258262890683,64594.56483333333,85439.45435825725
3.66,0.0,208614.265,58443.95289,103431.3092,9.0,0.9998518392091162,0.017213356155834685,6.123233995736766e-17,1.0,61750.364515,83372.6548716162
3.77,65.15,216101.242,58325.95675,108632.298,9.0,0.9998518392091162,0.017213356155834685,-0.25881904510252063,0.9659258262890683,63856.236125,86529.68413317029
3.78,217.1,227239.6381,68981.10958,115094.1558,9.0,0.9998518392091162,0.017213356155834685,-0.4999999999999998,0.8660254037844387,68590.79724666667,91010.73972682565
3.66,364.62,230392.4951,67736.35607,112469.421,8.0,0.9998518392091162,0.017213356155834685,-0.7071067811865475,0.7071067811865476,68495.75869500001,91835.07571950772
3.63,471.75,231639.127,63334.1876,110150.492,8.0,0.9998518392091162,0.017213356155834685,-0.8660254037844387,0.49999999999999994,67601.19776666666,92067.06941401765
3.74,556.88,228360.1525,64992.03344,115218.6007,8.0,0.9998518392091162,0.017213356155834685,-0.9659258262890682,0.258819045102521,68189.90110666667,91377.00380670783
3.79,541.62,223432.7036,58302.53661,118112.893,8.0,0.9998518392091162,0.017213356155834685,-1.0,1.2246467991473532e-16,66733.590535,90057.84263730232
3.81,463.0,219303.6127,61286.69541,112675.0445,8.0,0.9998518392091162,0.017213356155834685,-0.9659258262890683,-0.2588190451025208,65623.360435,87985.75006153127
3.84,330.95,219496.8008,58222.20984,118176.6001,8.0,0.9998518392091162,0.017213356155834685,-0.8660254037844388,-0.4999999999999997,66039.73345666667,88732.19407606895
3.93,170.35,230398.681,58748.7443,113505.947,8.0,0.9998518392091162,0.017213356155834685,-0.7071067811865479,-0.7071067811865471,67139.27538333334,92057.05021594634
4.05,32.58,246983.9221,75273.02299,121389.7199,7.0,0.9998518392091162,0.017213356155834685,-0.5000000000000004,-0.8660254037844385,73948.38249833333,98582.32229511782
